Task,Value
Sump Pump Repair,0.851373335
Water Heater Maintenance,0.838328549
Plumbing,0.827357699
Electrical Work,0.816414885
Carpentry,0.808183923
Painting,0.766254192
Automotive Help,0.762644184
Deep Clean,0.710870805
Winter Pool Maintenance,0.69596579
Generator Installation,0.68558859
Move Furniture Up/Downstairs,0.685350845
Lawn Mowing,0.681009182
TV Mounting,0.68022429
Snow Removal,0.678265539
Office Administration,0.677446962
Ice Dam Removal,0.675464819
Hang Pictures,0.675270403
Yard Work,0.673764781
Winter Deck Maintenance,0.673252988
Fall Yardwork,0.671825786
Lawn Care Services,0.667304563
Window Winterization,0.659626178
Remove Furniture,0.658554844
Snowblower Maintenance,0.658290776
Deliver Big Piece of Furniture,0.656349351
Mounting,0.653909853
Rearrange Furniture,0.653024307
Landscaping Services,0.650811869
Office Handyman,0.648177547
Light Installation,0.647841566
Pipe Insulation,0.646447971
Winter Yardwork,0.644750246
Sidewalk Salting,0.643277387
Home Maintenance,0.639015386
Furnace Filter Replacement,0.637737664
Storm Door Installation,0.637301525
Heavy Lifting,0.635903449
Christmas Tree Removal,0.634542003
AC Winterization,0.629387375
Home Repairs,0.627826712
Remove Heavy Furniture,0.6230555
Entertain Guests,0.622347659
Lifting & Shifting,0.616550933
General Cleaning,0.616096138
Back To Clean,0.615486415
Smoke Detector Maintenance,0.615441971
Shop For & Install Decorations,0.610037973
Cleaning,0.601238406
Event Decorating,0.590749173
Thanksgiving Decorating,0.582482557
Halloween Decorating,0.582235953
Organization,0.580695101
Decoration Help,0.579855122
Personal Assistant,0.576283847
Fall Decorating,0.574116639
Holiday Party Help,0.563648958
Shipping,0.557925383
Organize Closet,0.55624904
Packing & Unpacking,0.552763358
Help Moving,0.550896741
Event Help & Wait Staff,0.54624643
Event Staffing,0.53806108
Back To Organized,0.535682864
Organize & Declutter,0.535316018
Hand Out Candy,0.53230414
Gift Wrapping,0.53219442
Cooking & Baking,0.530619337
Pack for a Move,0.530087966
Bartending ,0.528142594
Wait in Line,0.523162842
Return Items,0.520553476
Organize for Fall,0.519162978
Office Moving,0.516023488
Back To School Supplies,0.508997741
Furniture Shopping & Assembly,0.493630449
Shopping,0.491826568
Birthday and Party Planning,0.49047153
Furniture Assembly,0.490179705
Build New Furniture,0.488245184
Help Cooking & Serving Food,0.487891826
Wait for Delivery,0.483572112
Disassemble furniture,0.482882631
Holiday Assembly,0.482806969
Research,0.472627477
Toy Assembly ,0.466407757
Delivery,0.462738371
Holiday Donation Drop-off,0.461689751
Run Errands,0.451496476
Party Errands,0.447852109
Pick-Up & Delivery,0.444649716
Delivery Service,0.437725413
Event Marketing,0.429130546
